;k;g;a;xE;CLUSTER;expP;stdE;xP;stdP;KG
783;100.0;40.0;0.9;0.37635264391502216;0.0;1.5042967828597504;0.0014465873827463804;1.3505924388416848;0.002715029387340321;2.5
872;100.0;40.0;0.95;0.09909672248410578;0.0;1.7756886946943224;0.0010054108545393297;0.7086189454406213;0.002456803444147949;2.5
961;100.0;40.0;1.0;0.020541569259988738;0.0;2.0976751050216778;0.000616219149780101;0.3499067680547329;0.0022770443847043424;2.5
4;100.0;50.0;0.5;45.712374211590316;0.0;0.4053841409465113;0.006505688452834335;2.398063792258553;0.001488254686887462;2.0
100;100.0;50.0;0.55;47.0732292173958;0.0;0.39214062445964;0.008076046393828399;0.8078096608342722;0.001029309353186576;2.0
199;100.0;50.0;0.6;39.67081450544528;0.0;0.42228938582427816;0.008248459060075463;0.8806445197735909;0.0011959446859350447;2.0
297;100.0;50.0;0.65;27.71401367353693;0.0;0.503372898856008;0.0069582847452765925;1.1553707686872483;0.001432451253015675;2.0
396;100.0;50.0;0.7;17.917441491097225;0.0;0.6220697618528911;0.00555301757247101;2.6101652449558377;0.0022119920524730358;2.0
496;100.0;50.0;0.75;10.858058316974457;0.0;0.7708420698769394;0.004362634236971139;3.8666189761295784;0.0028357903962495943;2.0
595;100.0;50.0;0.8;5.601728748205838;0.0;0.9466131860772102;0.003248028413478239;4.136171994978303;0.0031795021566632022;2.0
691;100.0;50.0;0.85;2.280088329900312;0.0;1.1445896058930023;0.002323137719465225;3.4158457508749915;0.0032184530012757976;2.0
784;100.0;50.0;0.9;0.7592655747087795;0.0;1.3613550593347357;0.001686438803921356;2.2849806103963215;0.0030243466639071;2.0
873;100.0;50.0;0.95;0.216593466652487;0.0;1.6012563788128555;0.0011924711303722994;1.3107892500059457;0.002753815948645859;2.0
962;100.0;50.0;1.0;0.05080253783846676;0.0;1.8774170579315501;0.000767129358812811;0.6867555918047948;0.002531151640734065;2.0
5;100.0;60.0;0.5;44.47397232241042;0.0;0.4362877628250988;0.005505925560823218;8.026932870149647;0.002381639752343261;1.6666666666666667
101;100.0;60.0;0.55;53.59557982383495;0.0;0.4069055907701084;0.00755231553478817;0.7648710661337541;0.0008894953704023644;1.6666666666666667
200;100.0;60.0;0.6;49.69863593731485;0.0;0.4149847460964636;0.008524453156284986;1.0735564645861888;0.0012088772221480301;1.6666666666666667
298;100.0;60.0;0.65;37.07849516634701;0.0;0.4756059523203456;0.007690862219305219;0.9133469309397966;0.0011993524822586565;1.6666666666666667
397;100.0;60.0;0.7;24.475599894369534;0.0;0.5765707885147274;0.006241719066802895;1.9512670136062773;0.0018107798174293145;1.6666666666666667
497;100.0;60.0;0.75;15.121045691579525;0.0;0.7094398589813652;0.004926185923328445;3.6110864073083104;0.0025681164695710245;1.6666666666666667
596;100.0;60.0;0.8;8.301530905331628;0.0;0.8702135120359453;0.003740463684907994;4.573502516888616;0.003092709576112476;1.6666666666666667
692;100.0;60.0;0.85;3.7067086050351064;0.0;1.054862729536136;0.002695896755125531;4.3458842138166265;0.003310098365066829;1.6666666666666667
785;100.0;60.0;0.9;1.3397219794884625;0.0;1.2577989857545278;0.0019453768670042101;3.2520108544905098;0.003228993273466714;1.6666666666666667
874;100.0;60.0;0.95;0.4119710674415531;0.0;1.4784679782772308;0.0013949348876590882;2.028769856990586;0.0029850370051346248;1.6666666666666667
963;100.0;60.0;1.0;0.1065836348747606;0.0;1.72575790966667;0.0009300298870911726;1.1266264533943455;0.002739421038592601;1.6666666666666667
6;100.0;70.0;0.5;37.68000888738488;0.0;0.4705416376998863;0.004459118554665018;21.607786646085348;0.003511057719206636;1.4285714285714286
102;100.0;70.0;0.55;56.39637283303957;0.0;0.42448937020090105;0.00686668378038507;1.630859143192541;0.0011631968438011464;1.4285714285714286
201;100.0;70.0;0.6;57.49647697262638;0.0;0.4164736840897124;0.00840517727353233;1.0028910114518348;0.001074124488153451;1.4285714285714286
299;100.0;70.0;0.65;46.39994220793237;0.0;0.4596092948684925;0.008184711962926137;0.9918847528351736;0.0011725659046794793;1.4285714285714286
398;100.0;70.0;0.7;31.801314586111573;0.0;0.5451366873686194;0.006865447807874577;1.4310293521409936;0.0014796070752041838;1.4285714285714286
498;100.0;70.0;0.75;20.02564807028505;0.0;0.664224377278482;0.005465513312905483;3.1109783846234498;0.002263507063949504;1.4285714285714286
597;100.0;70.0;0.8;11.455370076224714;0.0;0.8120766801892633;0.004209258957827825;4.61282647181288;0.0029217575053826;1.4285714285714286
693;100.0;70.0;0.85;5.4909305456619535;0.0;0.9851636167409308;0.0030748480358293684;4.989379319846317;0.003300881374804774;1.4285714285714286
786;100.0;70.0;0.9;2.1364362323620343;0.0;1.177613540525012;0.0022126695890349003;4.148783076967637;0.0033500071872862923;1.4285714285714286
875;100.0;70.0;0.95;0.7043075857647157;0.0;1.3855359986042772;0.0016029624380986974;2.8020940179660068;0.003161041347474804;1.4285714285714286
964;100.0;70.0;1.0;0.19805376947170825;0.0;1.6135165030973135;0.0011008136540112102;1.6453408658968407;0.002910797663887333;1.4285714285714286
7;100.0;80.0;0.5;31.36201870848445;0.0;0.5115139006275903;0.003591023873532;40.631656528312824;0.00433275697011453;1.25
103;100.0;80.0;0.55;55.021366139530706;0.0;0.4444461700336706;0.00608640749960301;4.776654200099421;0.0018105504977523421;1.25
202;100.0;80.0;0.6;62.896422517285785;0.0;0.4239472604301013;0.00802861103178887;0.7419675213403649;0.0008533025312633209;1.25
300;100.0;80.0;0.65;55.178977361341936;0.0;0.4504353219981694;0.00847022287194623;1.1536842961772258;0.0011888243478435053;1.25
399;100.0;80.0;0.7;39.59339306679514;0.0;0.5230166767019854;0.007397670429508417;1.1315964873312516;0.001258470906010654;1.25
499;100.0;80.0;0.75;25.486405668031765;0.0;0.6300478386397035;0.005971359295636311;2.551201714505994;0.0019625991161287357;1.25
598;100.0;80.0;0.8;15.031423823157086;0.0;0.7665973429951045;0.004652425234782767;4.3846200376530025;0.002709114691755997;1.25
694;100.0;80.0;0.85;7.6188558898847285;0.0;0.9293374311813698;0.0034500618828934627;5.341959424491728;0.0032214977178502665;1.25
787;100.0;80.0;0.9;3.157944816366893;0.0;1.1128795047556788;0.0024842463633937967;4.910180819912589;0.0034040567248580732;1.25
876;100.0;80.0;0.95;1.106578350086172;0.0;1.3115259828666708;0.0018097200543122493;3.5801047953209784;0.0032906268867662234;1.25
965;100.0;80.0;1.0;0.3349974015803794;0.0;1.5261550742284746;0.0012748250262546654;2.2174250132657187;0.003051812634448371;1.25
8;100.0;90.0;0.5;29.11747232448978;0.0;0.5503618058022862;0.003118980375862243;55.12704329904127;0.004623922840084557;1.1111111111111112
104;100.0;90.0;0.55;49.434824490752355;0.0;0.4686283496753124;0.005211005458020078;12.183265883800699;0.002656502037963425;1.1111111111111112
203;100.0;90.0;0.6;66.73767009119274;0.0;0.4337278436376929;0.007590050531057473;0.6472476857805304;0.0007398885633677731;1.1111111111111112
301;100.0;90.0;0.65;63.09517042334724;0.0;0.4460192312839415;0.008579121785194037;1.214500567597647;0.0011505609443641044;1.1111111111111112
400;100.0;90.0;0.7;47.47451589694006;0.0;0.5073986594945776;0.007817739039554728;1.036287630877843;0.0011507511976330544;1.1111111111111112
500;100.0;90.0;0.75;31.388021462660106;0.0;0.6037708444275096;0.006434476633363506;2.0460025602001544;0.0016917246940675518;1.1111111111111112
599;100.0;90.0;0.8;18.983825295620626;0.0;0.7302586241377814;0.005068705650847556;4.004176292113522;0.0024808779838107467;1.1111111111111112
695;100.0;90.0;0.85;10.068668539336837;0.0;0.883649419497424;0.0038143953404005094;5.445446188180362;0.003096428284404289;1.1111111111111112
788;100.0;90.0;0.9;4.409935115361403;0.0;1.0592053740746046;0.002758904623448566;5.5022134825190845;0.0034044422064662865;1.1111111111111112
877;100.0;90.0;0.95;1.6279112372752758;0.0;1.2504426904883867;0.0020130602097212227;4.322675821765748;0.003380162478560429;1.1111111111111112
